Player,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Glenn Anderson,L,R,1960-10-02,Vancouver,BC,CAN,CAN,73,190,1979,4,69,19801981,Y,"1,129",498,601,"1,099"
George Armstrong,R,R,1930-07-06,Skead,ON,CAN,CAN,73,184,--,--,--,19491950,Y,59,7,18,25
Dave Andreychuk,R,L,1963-09-29,Hamilton,ON,CAN,CAN,76,225,1982,1,16,19821983,Y,"1,639",640,698,"1,338"
Andy Bathgate,R,R,1932-08-28,Winnipeg,MB,CAN,CAN,72,180,--,--,--,19521953,Y,76,15,29,44
Johnny Bucyk,L,L,1935-05-12,Edmonton,AB,CAN,CAN,72,215,--,--,--,19551956,Y,567,244,348,592
Bill Barber,L,L,1952-07-11,Callander,ON,CAN,CAN,72,195,1972,1,7,19721973,Y,903,420,463,883
Jean Beliveau,L,C,1931-08-31,Trois-Rivières,QC,CAN,CAN,75,205,--,--,--,19501951,Y,70,25,51,76
Rob Blake,R,D,1969-12-10,Simcoe,ON,CAN,CAN,76,220,1988,4,70,19891990,Y,"1,270",240,537,777
Mike Bossy,R,R,1957-01-22,Montréal,QC,CAN,CAN,72,186,1977,1,15,19771978,Y,752,573,553,"1,126"
Ray Bourque,L,D,1960-12-28,Montréal,QC,CAN,CAN,72,223,1979,1,8,19791980,Y,"1,612",410,"1,169","1,579"
Alex Delvecchio,L,C,1931-12-04,Fort William,ON,CAN,CAN,72,195,--,--,--,19501951,Y,240,60,136,196
Dick Duff,L,L,1936-02-18,Kirkland Lake,ON,CAN,CAN,69,166,--,--,--,19541955,Y,68,10,15,25
Guy Carbonneau,R,C,1960-03-18,Sept-Iles,QC,CAN,CAN,71,186,1979,3,44,19801981,Y,"1,318",260,403,663
Chris Chelios,R,D,1962-01-25,Chicago,IL,USA,USA,72,191,1981,2,40,19831984,Y,"1,651",185,763,948
Dino Ciccarelli,R,R,1960-02-08,Sarnia,ON,CAN,CAN,70,185,--,--,--,19801981,Y,"1,232",608,592,"1,200"
Bobby Clarke,L,C,1949-08-13,Flin Flon,MB,CAN,CAN,70,185,1969,2,17,19691970,Y,"1,068",343,821,"1,164"
Paul Coffey,L,D,1961-06-01,Weston,ON,CAN,CAN,72,205,1980,1,6,19801981,Y,"1,409",396,"1,135","1,531"
Yvan Cournoyer,L,R,1943-11-22,Drummondville,QC,CAN,CAN,67,178,--,--,--,19631964,Y,562,276,287,563
Marcel Dionne,R,C,1951-08-03,Drummondville,QC,CAN,CAN,69,190,1971,1,2,19711972,Y,"1,348",731,"1,040","1,771"
Phil Esposito,L,C,1942-02-20,Sault Ste. Marie,ON,CAN,CAN,73,205,--,--,--,19631964,Y,823,516,591,"1,107"
Sergei Fedorov,L,C,1969-12-13,Pskov,--,RUS,RUS,74,207,1989,4,74,19901991,Y,"1,248",483,696,"1,179"
Viacheslav Fetisov,L,D,1958-04-20,Moscow,--,RUS,RUS,73,215,1983,8,145,19891990,Y,546,36,192,228
Bernie Federko,L,C,1956-05-12,Foam Lake,SK,CAN,CAN,72,178,1976,1,7,19761977,Y,"1,000",369,761,"1,130"
Tim Horton,R,D,1930-01-12,Cochrane,ON,CAN,CAN,70,180,--,--,--,19491950,Y,246,5,49,54
Harry Howell,L,D,1932-12-28,Hamilton,ON,CAN,CAN,73,195,--,--,--,19521953,Y,196,8,45,53
Ron Francis,L,C,1963-03-01,Sault Ste. Marie,ON,CAN,CAN,75,200,1981,1,4,19811982,Y,"1,731",549,"1,249","1,798"
Bob Gainey,L,L,1953-12-13,Peterborough,ON,CAN,CAN,74,200,1973,1,8,19731974,Y,"1,160",239,262,501
Mike Gartner,R,R,1959-10-29,Ottawa,ON,CAN,CAN,72,190,1979,1,4,19791980,Y,"1,432",708,627,"1,335"
Rod Gilbert,R,R,1941-07-01,Montréal,QC,CAN,CAN,69,180,--,--,--,19601961,Y,544,235,351,586
Clark Gillies,L,L,1954-04-07,Moose Jaw,SK,CAN,CAN,75,215,1974,1,4,19741975,Y,958,319,378,697
Doug Gilmour,L,C,1963-06-25,Kingston,ON,CAN,CAN,71,177,1982,7,134,19831984,Y,"1,474",450,964,"1,414"
Michel Goulet,L,L,1960-04-21,Péribonka,QC,CAN,CAN,73,195,1979,1,20,19791980,Y,"1,089",548,605,"1,153"
Jacques Laperriere,L,D,1941-11-22,Rouyn,QC,CAN,CAN,74,180,--,--,--,19621963,Y,222,12,67,79
Wayne Gretzky,L,C,1961-01-26,Brantford,ON,CAN,CAN,72,185,--,--,--,19791980,Y,"1,487",894,"1,963","2,857"
Dale Hawerchuk,L,C,1963-04-04,Toronto,ON,CAN,CAN,71,196,1981,1,1,19811982,Y,"1,188",518,891,"1,409"
Phil Housley,L,D,1964-03-09,St. Paul,MN,USA,USA,70,185,1982,1,6,19821983,Y,"1,495",338,894,"1,232"
Gordie Howe,R,R,1928-03-31,Floral,SK,CAN,CAN,72,205,--,--,--,19461947,Y,143,38,55,93
Mark Howe,L,D,1955-05-28,Detroit,MI,USA,USA,71,185,1974,2,25,19791980,Y,929,197,545,742
Brett Hull,R,R,1964-08-09,Belleville,ON,CAN,USA,71,205,1984,6,117,19861987,Y,"1,269",741,650,"1,391"
Bobby Hull,L,L,1939-01-03,Point Anne,ON,CAN,CAN,70,195,--,--,--,19571958,Y,183,100,106,206
Bob Pulford,L,L,1936-03-31,Newton Robinson,ON,CAN,CAN,71,188,--,--,--,19561957,Y,132,30,50,80
Henri Richard,R,C,1936-02-29,Montréal,QC,CAN,CAN,67,160,--,--,--,19551956,Y,315,54,150,204
